Datetime,NMEA msg,UTC time,latitude,northing,longitude,easting,fix mode status,space vehicles used,hdop,altitude msl,units,geoid (HAE-MSL),units,Age of DGNSS corrections,Ref station,latitude_decimal,longitude_decimal,HAE
2024-07-29 15:10:00,$GNGGA,201000,4153.25719,N,8739.54203,W,5,12,0.88,182.3,M,-33.8,M,8,0000*51,41.88761983333333,-87.65903383333334,148.5
2024-07-29 15:10:01,$GNGGA,201001,4153.25707,N,8739.54271,W,5,12,0.88,182.3,M,-33.8,M,4,0000*56,41.88761783333333,-87.65904516666667,148.5
2024-07-29 15:10:02,$GNGGA,201002,4153.25715,N,8739.54343,W,4,12,0.83,181.3,M,-33.8,M,5,0000*5E,41.88761916666667,-87.65905716666667,147.5
2024-07-29 15:10:03,$GNGGA,201003,4153.25708,N,8739.54464,W,4,12,0.83,181.3,M,-33.8,M,6,0000*52,41.887618,-87.65907733333333,147.5
2024-07-29 15:10:04,$GNGGA,201004,4153.25693,N,8739.54573,W,4,12,1.01,181.4,M,-33.8,M,7,0000*5C,41.8876155,-87.6590955,147.60000000000002
2024-07-29 15:10:05,$GNGGA,201005,4153.25686,N,8739.54667,W,4,12,1.01,181.5,M,-33.8,M,8,0000*51,41.88761433333333,-87.65911116666666,147.7
2024-07-29 15:10:06,$GNGGA,201006,4153.25684,N,8739.54759,W,4,12,1.01,181.5,M,-33.8,M,9,0000*5D,41.887614,-87.6591265,147.7
2024-07-29 15:10:07,$GNGGA,201007,4153.25672,N,8739.54851,W,4,12,1.01,181.5,M,-33.8,M,10,0000*6A,41.887612,-87.65914183333334,147.7
2024-07-29 15:10:08,$GNGGA,201008,4153.25657,N,8739.54946,W,5,12,1.01,181.5,M,-33.8,M,11,0000*65,41.8876095,-87.65915766666667,147.7
2024-07-29 15:10:09,$GNGGA,201009,4153.25648,N,8739.55042,W,5,12,1.01,181.5,M,-33.8,M,12,0000*65,41.887608,-87.65917366666666,147.7
2024-07-29 15:10:10,$GNGGA,201010,4153.25643,N,8739.55142,W,5,12,1.01,181.5,M,-33.8,M,8,0000*5C,41.88760716666667,-87.65919033333333,147.7
2024-07-29 15:10:11,$GNGGA,201011,4153.25645,N,8739.55235,W,5,12,0.98,181.5,M,-33.8,M,9,0000*58,41.8876075,-87.65920583333333,147.7
2024-07-29 15:10:12,$GNGGA,201012,4153.25648,N,8739.55332,W,5,12,1.2,181.5,M,-33.8,M,5,0000*5E,41.887608,-87.659222,147.7
2024-07-29 15:10:13,$GNGGA,201013,4153.25647,N,8739.55431,W,5,12,1.2,181.6,M,-33.8,M,6,0000*54,41.887607833333334,-87.6592385,147.8
2024-07-29 15:10:14,$GNGGA,201014,4153.25648,N,8739.55527,W,5,12,1.2,181.5,M,-33.8,M,7,0000*58,41.887608,-87.6592545,147.7
2024-07-29 15:10:15,$GNGGA,201015,4153.25652,N,8739.55619,W,5,12,1.2,181.5,M,-33.8,M,8,0000*53,41.887608666666665,-87.65926983333334,147.7
2024-07-29 15:10:16,$GNGGA,201016,4153.25636,N,8739.55722,W,5,12,1.2,181.4,M,-33.8,M,9,0000*5B,41.887606,-87.659287,147.60000000000002
2024-07-29 15:10:17,$GNGGA,201017,4153.25641,N,8739.55815,W,5,12,1.2,181.6,M,-33.8,M,10,0000*6B,41.88760683333334,-87.6593025,147.8
2024-07-29 15:10:18,$GNGGA,201018,4153.25642,N,8739.55906,W,5,12,1.2,181.7,M,-33.8,M,11,0000*64,41.887607,-87.65931766666667,147.89999999999998
2024-07-29 15:10:19,$GNGGA,201019,4153.25648,N,8739.55996,W,5,12,1.2,181.5,M,-33.8,M,12,0000*67,41.887608,-87.65933266666667,147.7
2024-07-29 15:10:20,$GNGGA,201020,4153.25639,N,8739.56089,W,5,12,1.12,181.6,M,-33.8,M,8,0000*56,41.8876065,-87.65934816666666,147.8
2024-07-29 15:10:21,$GNGGA,201021,4153.25641,N,8739.5618,W,5,12,1.12,181.5,M,-33.8,M,4,0000*5F,41.88760683333334,-87.65936333333333,147.7
2024-07-29 15:10:22,$GNGGA,201022,4153.25633,N,8739.56273,W,5,12,1.12,181.6,M,-33.8,M,5,0000*54,41.8876055,-87.65937883333334,147.8
2024-07-29 15:10:23,$GNGGA,201023,4153.25634,N,8739.56368,W,5,12,1.12,181.6,M,-33.8,M,6,0000*5A,41.887605666666666,-87.65939466666667,147.8
2024-07-29 15:10:24,$GNGGA,201024,4153.2563,N,8739.56462,W,5,12,1.12,181.7,M,-33.8,M,7,0000*54,41.887605,-87.65941033333333,147.89999999999998
2024-07-29 15:10:25,$GNGGA,201025,4153.25631,N,8739.56556,W,5,12,1.12,181.6,M,-33.8,M,8,0000*5C,41.88760516666667,-87.659426,147.8
2024-07-29 15:10:26,$GNGGA,201026,4153.25628,N,8739.56652,W,5,12,1.12,181.6,M,-33.8,M,9,0000*51,41.88760466666667,-87.659442,147.8
2024-07-29 15:10:27,$GNGGA,201027,4153.25633,N,8739.56744,W,5,12,1.12,181.6,M,-33.8,M,10,0000*64,41.8876055,-87.65945733333334,147.8
2024-07-29 15:10:28,$GNGGA,201028,4153.25629,N,8739.56839,W,5,12,1.12,181.5,M,-33.8,M,11,0000*67,41.887604833333334,-87.65947316666667,147.7
2024-07-29 15:10:29,$GNGGA,201029,4153.25628,N,8739.56932,W,5,12,1.12,181.6,M,-33.8,M,12,0000*6D,41.88760466666667,-87.65948866666666,147.8
2024-07-29 15:10:30,$GNGGA,201030,4153.25618,N,8739.57031,W,5,12,1.12,181.6,M,-33.8,M,8,0000*56,41.887603,-87.65950516666666,147.8
2024-07-29 15:10:31,$GNGGA,201031,4153.25608,N,8739.57126,W,5,12,1.12,181.6,M,-33.8,M,4,0000*5D,41.887601333333336,-87.659521,147.8
2024-07-29 15:10:32,$GNGGA,201032,4153.25619,N,8739.57218,W,5,12,1.12,181.4,M,-33.8,M,5,0000*53,41.887603166666665,-87.65953633333334,147.60000000000002
2024-07-29 15:10:33,$GNGGA,201033,4153.25602,N,8739.5732,W,5,12,1.12,181.6,M,-33.8,M,6,0000*53,41.88760033333333,-87.65955333333333,147.8
2024-07-29 15:10:34,$GNGGA,201034,4153.256,N,8739.57418,W,5,12,1.12,181.6,M,-33.8,M,7,0000*5B,41.8876,-87.65956966666667,147.8
2024-07-29 15:10:36,$GNGGA,201036,4153.25596,N,8739.57619,W,5,12,1.21,181.4,M,-33.8,M,9,0000*5A,41.887599333333334,-87.65960316666667,147.60000000000002
2024-07-29 15:10:37,$GNGGA,201037,4153.25599,N,8739.57718,W,5,12,1.21,181.6,M,-33.8,M,10,0000*6E,41.88759983333333,-87.65961966666667,147.8
2024-07-29 15:10:38,$GNGGA,201038,4153.25597,N,8739.57823,W,5,12,1.21,181.6,M,-33.8,M,11,0000*69,41.8875995,-87.65963716666667,147.8
2024-07-29 15:10:39,$GNGGA,201039,4153.25594,N,8739.57925,W,5,12,1.21,181.5,M,-33.8,M,12,0000*6C,41.887599,-87.65965416666667,147.7
2024-07-29 15:10:40,$GNGGA,201040,4153.2559,N,8739.58025,W,5,12,1.12,181.5,M,-33.8,M,8,0000*5B,41.88759833333334,-87.65967083333334,147.7
2024-07-29 15:10:41,$GNGGA,201041,4153.25588,N,8739.58126,W,5,12,1.21,181.6,M,-33.8,M,4,0000*5E,41.887598,-87.65968766666667,147.8
2024-07-29 15:10:42,$GNGGA,201042,4153.25591,N,8739.58226,W,5,12,1.21,181.5,M,-33.8,M,5,0000*54,41.8875985,-87.65970433333334,147.7
