Index,UTC,Lat,Lon,Alt (HAE),PDOP,HDOP,VDOP,Fix type (GPS),SVs Used,Carrier Range Status,RTK Fix Type
147,15:32:49.000 08/16/2024,42.09785433,-87.82843617,161.900,1.3,0.8,1.0,3D,29,1,Float
148,15:32:50.000 08/16/2024,42.09785433,-87.82843617,161.900,1.3,0.8,1.0,3D,29,1,Float
149,15:32:51.000 08/16/2024,42.09785433,-87.82843633,161.900,1.3,0.8,1.0,3D,29,1,Float
150,15:32:52.000 08/16/2024,42.09785417,-87.82843667,161.900,1.3,0.8,1.0,3D,29,1,Float
151,15:32:53.000 08/16/2024,42.09785417,-87.82843667,161.900,1.3,0.8,1.0,3D,29,1,Float
152,15:32:54.000 08/16/2024,42.09785367,-87.82843700,161.800,1.3,0.8,1.0,3D,29,2,Fixed
153,15:32:55.000 08/16/2024,42.09785383,-87.82843700,161.800,1.3,0.8,1.0,3D,29,2,Fixed
154,15:32:56.000 08/16/2024,42.09785367,-87.82843700,161.800,1.3,0.8,1.0,3D,29,2,Fixed
155,15:32:57.000 08/16/2024,42.09785367,-87.82843683,161.800,1.3,0.8,1.0,3D,29,2,Fixed
156,15:32:58.000 08/16/2024,42.09785367,-87.82843683,161.800,1.3,0.8,1.0,3D,29,2,Fixed
157,15:32:59.000 08/16/2024,42.09785417,-87.82843650,161.900,1.3,0.8,1.0,3D,29,2,Fixed
158,15:33:00.000 08/16/2024,42.09785400,-87.82843617,161.900,1.3,0.8,1.0,3D,29,2,Fixed
159,15:33:01.000 08/16/2024,42.09785417,-87.82843617,161.900,1.3,0.8,1.0,3D,29,2,Fixed
160,15:33:02.000 08/16/2024,42.09785400,-87.82843683,161.800,1.3,0.8,1.0,3D,27,2,Fixed
161,15:33:03.000 08/16/2024,42.09785367,-87.82843583,161.900,1.3,0.8,1.0,3D,27,2,Fixed
162,15:33:04.000 08/16/2024,42.09785367,-87.82843633,161.900,1.3,0.8,1.0,3D,29,1,Float
163,15:33:05.000 08/16/2024,42.09785617,-87.82843467,162.900,1.3,0.8,1.0,3D,29,1,Float
164,15:33:06.000 08/16/2024,42.09785883,-87.82843017,163.100,1.3,0.8,1.0,3D,27,1,Float
165,15:33:07.000 08/16/2024,42.09785800,-87.82842233,163.000,1.3,0.8,1.0,3D,26,1,Float
166,15:33:08.000 08/16/2024,42.09785683,-87.82841100,163.000,1.3,0.8,1.0,3D,27,1,Float
167,15:33:09.000 08/16/2024,42.09785667,-87.82839767,163.000,1.3,0.8,1.0,3D,26,1,Float
168,15:33:10.000 08/16/2024,42.09785767,-87.82838300,163.100,1.3,0.8,1.0,3D,26,2,Fixed
169,15:33:11.000 08/16/2024,42.09785900,-87.82836833,163.100,1.3,0.8,1.0,3D,26,2,Fixed
170,15:33:12.000 08/16/2024,42.09786000,-87.82835633,163.000,1.3,0.8,1.0,3D,26,2,Fixed
171,15:33:13.000 08/16/2024,42.09786117,-87.82834283,163.000,1.3,0.8,1.0,3D,27,2,Fixed
172,15:33:14.000 08/16/2024,42.09786300,-87.82833067,163.000,1.3,0.8,1.0,3D,27,2,Fixed
173,15:33:15.000 08/16/2024,42.09786500,-87.82831783,163.100,1.3,0.8,1.0,3D,26,2,Fixed
174,15:33:16.000 08/16/2024,42.09786683,-87.82830367,163.200,1.3,0.8,1.0,3D,26,2,Fixed
175,15:33:17.000 08/16/2024,42.09786867,-87.82829083,163.100,1.3,0.8,1.0,3D,25,2,Fixed
176,15:33:18.000 08/16/2024,42.09786917,-87.82827667,163.100,1.3,0.8,1.0,3D,26,2,Fixed
177,15:33:19.000 08/16/2024,42.09787033,-87.82826350,163.000,1.3,0.8,1.0,3D,26,2,Fixed
178,15:33:20.000 08/16/2024,42.09787183,-87.82825183,163.100,1.3,0.8,1.0,3D,28,2,Fixed
179,15:33:21.000 08/16/2024,42.09787300,-87.82823767,163.000,1.3,0.8,1.0,3D,25,2,Fixed
180,15:33:22.000 08/16/2024,42.09787333,-87.82822333,163.100,1.3,0.8,1.0,3D,24,2,Fixed
181,15:33:23.000 08/16/2024,42.09787317,-87.82820983,163.000,1.3,0.8,1.0,3D,24,2,Fixed
182,15:33:24.000 08/16/2024,42.09787383,-87.82819800,163.000,1.3,0.8,1.0,3D,25,2,Fixed
